CountryName,req_per_mill
Austria,478.888657325073
Belgium,612.140734665352
Bulgaria,117.272747919338
Croatia,560.820184823759
Cyprus,141.960065406786
Czech Republic,215.559273667895
Denmark,400.982880115204
Estonia,1192.04718060836
Finland,591.792450905034
France,684.098875110943
Germany,458.039953169979
Greece,114.300445019401
Hungary,223.395455322071
Iceland,442.721716893394
Ireland,441.104689789373
Italy,275.391927070428
Latvia,444.028340332326
Liechtenstein,974.949221394719
Lithuania,365.681918974223
Luxembourg,578.053836326081
Malta,380.361083154965
Netherlands,809.736885202197
Norway,455.529789405982
Poland,154.292451024475
Portugal,177.536753549731
Romania,196.958651857099
Slovakia,169.742126800509
Slovenia,406.70056161562
Spain,428.062250215291
Sweden,677.713292562813
Switzerland,693.313429393272
United Kingdom,421.766450065553
